,101st,13th,AARB,ASIM,AALS,AASG,AF,1st,AFB,ANF,ASL,ATB,ADF,AASB,AADF,FKUG,ARC,Hazm,ISIL,JAI,JMA,JAM,JAA,LF,MSC,NADAZM,YPG,SAS,SRF,SF
101st,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
13th,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
AARB,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASIM,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AALS,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
AASG,1,1,1,1,0,NA,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
AF,1,1,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
1st,0,0,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
AFB,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANF,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASL,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATB,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
ADF,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AASB,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
AADF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FKUG,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,0,1,0,1,1,1
ARC,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,1
Hazm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
ISIL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1
JAI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
JMA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,0,1,0,1,1,1
JAM,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,0,1,0,1,1,1
JAA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,0,1,0,1,1,1
LF,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,0,1,0,1,1,1
MSC,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,NA,0,0,0,0,1
NADAZM,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,NA,0,1,1,1
YPG,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,1
SAS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,NA,1,1
SRF,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,NA,1
SF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA